objectid,display_template,pdf_download,parentid,file_name,identifier,object_location,image_small,image_thumb,image_alt_text,object_transcript,title,ark,avian_id,uid,archival_call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,creator,creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,contributor,contributor_uri,description,disclaimer,language,chronological_subject,name_subject,name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,relation,relation_uri,digital_origin
iowaornithassoc_050,image,,iowaornithassoc_000,ms0581b001f001i0050.jpg,ms0581b001f001i0050,/objects/ms0581b001f001i0050.jpg,/objects/small/ms0581b001f001i0050_sm.jpg,/objects/thumbs/ms0581b001f001i0050_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_051,image,,iowaornithassoc_000,ms0581b001f001i0051.jpg,ms0581b001f001i0051,/objects/ms0581b001f001i0051.jpg,/objects/small/ms0581b001f001i0051_sm.jpg,/objects/thumbs/ms0581b001f001i0051_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_052,image,,iowaornithassoc_000,ms0581b001f001i0052.jpg,ms0581b001f001i0052,/objects/ms0581b001f001i0052.jpg,/objects/small/ms0581b001f001i0052_sm.jpg,/objects/thumbs/ms0581b001f001i0052_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_053,image,,iowaornithassoc_000,ms0581b001f001i0053.jpg,ms0581b001f001i0053,/objects/ms0581b001f001i0053.jpg,/objects/small/ms0581b001f001i0053_sm.jpg,/objects/thumbs/ms0581b001f001i0053_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_054,image,,iowaornithassoc_000,ms0581b001f001i0054.jpg,ms0581b001f001i0054,/objects/ms0581b001f001i0054.jpg,/objects/small/ms0581b001f001i0054_sm.jpg,/objects/thumbs/ms0581b001f001i0054_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_055,image,,iowaornithassoc_000,ms0581b001f001i0055.jpg,ms0581b001f001i0055,/objects/ms0581b001f001i0055.jpg,/objects/small/ms0581b001f001i0055_sm.jpg,/objects/thumbs/ms0581b001f001i0055_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_056,image,,iowaornithassoc_000,ms0581b001f001i0056.jpg,ms0581b001f001i0056,/objects/ms0581b001f001i0056.jpg,/objects/small/ms0581b001f001i0056_sm.jpg,/objects/thumbs/ms0581b001f001i0056_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_057,image,,iowaornithassoc_000,ms0581b001f001i0057.jpg,ms0581b001f001i0057,/objects/ms0581b001f001i0057.jpg,/objects/small/ms0581b001f001i0057_sm.jpg,/objects/thumbs/ms0581b001f001i0057_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_058,image,,iowaornithassoc_000,ms0581b001f001i0058.jpg,ms0581b001f001i0058,/objects/ms0581b001f001i0058.jpg,/objects/small/ms0581b001f001i0058_sm.jpg,/objects/thumbs/ms0581b001f001i0058_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_059,image,,iowaornithassoc_000,ms0581b001f001i0059.jpg,ms0581b001f001i0059,/objects/ms0581b001f001i0059.jpg,/objects/small/ms0581b001f001i0059_sm.jpg,/objects/thumbs/ms0581b001f001i0059_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_060,image,,iowaornithassoc_000,ms0581b001f001i0060.jpg,ms0581b001f001i0060,/objects/ms0581b001f001i0060.jpg,/objects/small/ms0581b001f001i0060_sm.jpg,/objects/thumbs/ms0581b001f001i0060_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_061,image,,iowaornithassoc_000,ms0581b001f001i0061.jpg,ms0581b001f001i0061,/objects/ms0581b001f001i0061.jpg,/objects/small/ms0581b001f001i0061_sm.jpg,/objects/thumbs/ms0581b001f001i0061_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_062,image,,iowaornithassoc_000,ms0581b001f001i0062.jpg,ms0581b001f001i0062,/objects/ms0581b001f001i0062.jpg,/objects/small/ms0581b001f001i0062_sm.jpg,/objects/thumbs/ms0581b001f001i0062_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_063,image,,iowaornithassoc_000,ms0581b001f001i0063.jpg,ms0581b001f001i0063,/objects/ms0581b001f001i0063.jpg,/objects/small/ms0581b001f001i0063_sm.jpg,/objects/thumbs/ms0581b001f001i0063_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_064,image,,iowaornithassoc_000,ms0581b001f001i0064.jpg,ms0581b001f001i0064,/objects/ms0581b001f001i0064.jpg,/objects/small/ms0581b001f001i0064_sm.jpg,/objects/thumbs/ms0581b001f001i0064_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_065,image,,iowaornithassoc_000,ms0581b001f001i0065.jpg,ms0581b001f001i0065,/objects/ms0581b001f001i0065.jpg,/objects/small/ms0581b001f001i0065_sm.jpg,/objects/thumbs/ms0581b001f001i0065_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_066,image,,iowaornithassoc_000,ms0581b001f001i0066.jpg,ms0581b001f001i0066,/objects/ms0581b001f001i0066.jpg,/objects/small/ms0581b001f001i0066_sm.jpg,/objects/thumbs/ms0581b001f001i0066_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_067,image,,iowaornithassoc_000,ms0581b001f001i0067.jpg,ms0581b001f001i0067,/objects/ms0581b001f001i0067.jpg,/objects/small/ms0581b001f001i0067_sm.jpg,/objects/thumbs/ms0581b001f001i0067_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_068,image,,iowaornithassoc_000,ms0581b001f001i0068.jpg,ms0581b001f001i0068,/objects/ms0581b001f001i0068.jpg,/objects/small/ms0581b001f001i0068_sm.jpg,/objects/thumbs/ms0581b001f001i0068_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_069,image,,iowaornithassoc_000,ms0581b001f001i0069.jpg,ms0581b001f001i0069,/objects/ms0581b001f001i0069.jpg,/objects/small/ms0581b001f001i0069_sm.jpg,/objects/thumbs/ms0581b001f001i0069_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_070,image,,iowaornithassoc_000,ms0581b001f001i0070.jpg,ms0581b001f001i0070,/objects/ms0581b001f001i0070.jpg,/objects/small/ms0581b001f001i0070_sm.jpg,/objects/thumbs/ms0581b001f001i0070_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_071,image,,iowaornithassoc_000,ms0581b001f001i0071.jpg,ms0581b001f001i0071,/objects/ms0581b001f001i0071.jpg,/objects/small/ms0581b001f001i0071_sm.jpg,/objects/thumbs/ms0581b001f001i0071_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_072,image,,iowaornithassoc_000,ms0581b001f001i0072.jpg,ms0581b001f001i0072,/objects/ms0581b001f001i0072.jpg,/objects/small/ms0581b001f001i0072_sm.jpg,/objects/thumbs/ms0581b001f001i0072_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_073,image,,iowaornithassoc_000,ms0581b001f001i0073.jpg,ms0581b001f001i0073,/objects/ms0581b001f001i0073.jpg,/objects/small/ms0581b001f001i0073_sm.jpg,/objects/thumbs/ms0581b001f001i0073_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_074,image,,iowaornithassoc_000,ms0581b001f001i0074.jpg,ms0581b001f001i0074,/objects/ms0581b001f001i0074.jpg,/objects/small/ms0581b001f001i0074_sm.jpg,/objects/thumbs/ms0581b001f001i0074_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_075,image,,iowaornithassoc_000,ms0581b001f001i0075.jpg,ms0581b001f001i0075,/objects/ms0581b001f001i0075.jpg,/objects/small/ms0581b001f001i0075_sm.jpg,/objects/thumbs/ms0581b001f001i0075_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_076,image,,iowaornithassoc_000,ms0581b001f001i0076.jpg,ms0581b001f001i0076,/objects/ms0581b001f001i0076.jpg,/objects/small/ms0581b001f001i0076_sm.jpg,/objects/thumbs/ms0581b001f001i0076_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_077,image,,iowaornithassoc_000,ms0581b001f001i0077.jpg,ms0581b001f001i0077,/objects/ms0581b001f001i0077.jpg,/objects/small/ms0581b001f001i0077_sm.jpg,/objects/thumbs/ms0581b001f001i0077_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_078,image,,iowaornithassoc_000,ms0581b001f001i0078.jpg,ms0581b001f001i0078,/objects/ms0581b001f001i0078.jpg,/objects/small/ms0581b001f001i0078_sm.jpg,/objects/thumbs/ms0581b001f001i0078_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_079,image,,iowaornithassoc_000,ms0581b001f001i0079.jpg,ms0581b001f001i0079,/objects/ms0581b001f001i0079.jpg,/objects/small/ms0581b001f001i0079_sm.jpg,/objects/thumbs/ms0581b001f001i0079_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_080,image,,iowaornithassoc_000,ms0581b001f001i0080.jpg,ms0581b001f001i0080,/objects/ms0581b001f001i0080.jpg,/objects/small/ms0581b001f001i0080_sm.jpg,/objects/thumbs/ms0581b001f001i0080_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_081,image,,iowaornithassoc_000,ms0581b001f001i0081.jpg,ms0581b001f001i0081,/objects/ms0581b001f001i0081.jpg,/objects/small/ms0581b001f001i0081_sm.jpg,/objects/thumbs/ms0581b001f001i0081_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_082,image,,iowaornithassoc_000,ms0581b001f001i0082.jpg,ms0581b001f001i0082,/objects/ms0581b001f001i0082.jpg,/objects/small/ms0581b001f001i0082_sm.jpg,/objects/thumbs/ms0581b001f001i0082_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_083,image,,iowaornithassoc_000,ms0581b001f001i0083.jpg,ms0581b001f001i0083,/objects/ms0581b001f001i0083.jpg,/objects/small/ms0581b001f001i0083_sm.jpg,/objects/thumbs/ms0581b001f001i0083_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_084,image,,iowaornithassoc_000,ms0581b001f001i0084.jpg,ms0581b001f001i0084,/objects/ms0581b001f001i0084.jpg,/objects/small/ms0581b001f001i0084_sm.jpg,/objects/thumbs/ms0581b001f001i0084_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_085,image,,iowaornithassoc_000,ms0581b001f001i0085.jpg,ms0581b001f001i0085,/objects/ms0581b001f001i0085.jpg,/objects/small/ms0581b001f001i0085_sm.jpg,/objects/thumbs/ms0581b001f001i0085_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_086,image,,iowaornithassoc_000,ms0581b001f001i0086.jpg,ms0581b001f001i0086,/objects/ms0581b001f001i0086.jpg,/objects/small/ms0581b001f001i0086_sm.jpg,/objects/thumbs/ms0581b001f001i0086_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_087,image,,iowaornithassoc_000,ms0581b001f001i0087.jpg,ms0581b001f001i0087,/objects/ms0581b001f001i0087.jpg,/objects/small/ms0581b001f001i0087_sm.jpg,/objects/thumbs/ms0581b001f001i0087_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_088,image,,iowaornithassoc_000,ms0581b001f001i0088.jpg,ms0581b001f001i0088,/objects/ms0581b001f001i0088.jpg,/objects/small/ms0581b001f001i0088_sm.jpg,/objects/thumbs/ms0581b001f001i0088_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_089,image,,iowaornithassoc_000,ms0581b001f001i0089.jpg,ms0581b001f001i0089,/objects/ms0581b001f001i0089.jpg,/objects/small/ms0581b001f001i0089_sm.jpg,/objects/thumbs/ms0581b001f001i0089_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_090,image,,iowaornithassoc_000,ms0581b001f001i0090.jpg,ms0581b001f001i0090,/objects/ms0581b001f001i0090.jpg,/objects/small/ms0581b001f001i0090_sm.jpg,/objects/thumbs/ms0581b001f001i0090_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_091,image,,iowaornithassoc_000,ms0581b001f001i0091.jpg,ms0581b001f001i0091,/objects/ms0581b001f001i0091.jpg,/objects/small/ms0581b001f001i0091_sm.jpg,/objects/thumbs/ms0581b001f001i0091_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_092,image,,iowaornithassoc_000,ms0581b001f001i0092.jpg,ms0581b001f001i0092,/objects/ms0581b001f001i0092.jpg,/objects/small/ms0581b001f001i0092_sm.jpg,/objects/thumbs/ms0581b001f001i0092_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_093,image,,iowaornithassoc_000,ms0581b001f001i0093.jpg,ms0581b001f001i0093,/objects/ms0581b001f001i0093.jpg,/objects/small/ms0581b001f001i0093_sm.jpg,/objects/thumbs/ms0581b001f001i0093_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_094,image,,iowaornithassoc_000,ms0581b001f001i0094.jpg,ms0581b001f001i0094,/objects/ms0581b001f001i0094.jpg,/objects/small/ms0581b001f001i0094_sm.jpg,/objects/thumbs/ms0581b001f001i0094_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_095,image,,iowaornithassoc_000,ms0581b001f001i0095.jpg,ms0581b001f001i0095,/objects/ms0581b001f001i0095.jpg,/objects/small/ms0581b001f001i0095_sm.jpg,/objects/thumbs/ms0581b001f001i0095_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_096,image,,iowaornithassoc_000,ms0581b001f001i0096.jpg,ms0581b001f001i0096,/objects/ms0581b001f001i0096.jpg,/objects/small/ms0581b001f001i0096_sm.jpg,/objects/thumbs/ms0581b001f001i0096_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_097,image,,iowaornithassoc_000,ms0581b001f001i0097.jpg,ms0581b001f001i0097,/objects/ms0581b001f001i0097.jpg,/objects/small/ms0581b001f001i0097_sm.jpg,/objects/thumbs/ms0581b001f001i0097_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_098,image,,iowaornithassoc_000,ms0581b001f001i0098.jpg,ms0581b001f001i0098,/objects/ms0581b001f001i0098.jpg,/objects/small/ms0581b001f001i0098_sm.jpg,/objects/thumbs/ms0581b001f001i0098_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_099,image,,iowaornithassoc_000,ms0581b001f001i0099.jpg,ms0581b001f001i0099,/objects/ms0581b001f001i0099.jpg,/objects/small/ms0581b001f001i0099_sm.jpg,/objects/thumbs/ms0581b001f001i0099_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_100,image,,iowaornithassoc_000,ms0581b001f001i0100.jpg,ms0581b001f001i0100,/objects/ms0581b001f001i0100.jpg,/objects/small/ms0581b001f001i0100_sm.jpg,/objects/thumbs/ms0581b001f001i0100_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_101,image,,iowaornithassoc_000,ms0581b001f001i0101.jpg,ms0581b001f001i0101,/objects/ms0581b001f001i0101.jpg,/objects/small/ms0581b001f001i0101_sm.jpg,/objects/thumbs/ms0581b001f001i0101_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_102,image,,iowaornithassoc_000,ms0581b001f001i0102.jpg,ms0581b001f001i0102,/objects/ms0581b001f001i0102.jpg,/objects/small/ms0581b001f001i0102_sm.jpg,/objects/thumbs/ms0581b001f001i0102_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_103,image,,iowaornithassoc_000,ms0581b001f001i0103.jpg,ms0581b001f001i0103,/objects/ms0581b001f001i0103.jpg,/objects/small/ms0581b001f001i0103_sm.jpg,/objects/thumbs/ms0581b001f001i0103_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_104,image,,iowaornithassoc_000,ms0581b001f001i0104.jpg,ms0581b001f001i0104,/objects/ms0581b001f001i0104.jpg,/objects/small/ms0581b001f001i0104_sm.jpg,/objects/thumbs/ms0581b001f001i0104_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_105,image,,iowaornithassoc_000,ms0581b001f001i0105.jpg,ms0581b001f001i0105,/objects/ms0581b001f001i0105.jpg,/objects/small/ms0581b001f001i0105_sm.jpg,/objects/thumbs/ms0581b001f001i0105_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_106,image,,iowaornithassoc_000,ms0581b001f001i0106.jpg,ms0581b001f001i0106,/objects/ms0581b001f001i0106.jpg,/objects/small/ms0581b001f001i0106_sm.jpg,/objects/thumbs/ms0581b001f001i0106_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
